HSA_CODE,HSA_NAME,HSA_NAME_FORMATTED,ZONE_CODE,ZONE_NAME,FY,INC_RT
HSA1.1,SOUTH ZONE - WEST,South Zone - West,Z1,SOUTH,2016,0
HSA1.1,SOUTH ZONE - WEST,South Zone - West,Z1,SOUTH,2017,42.1
HSA1.1,SOUTH ZONE - WEST,South Zone - West,Z1,SOUTH,2018,0
HSA1.1,SOUTH ZONE - WEST,South Zone - West,Z1,SOUTH,2019,44.8
HSA1.1,SOUTH ZONE - WEST,South Zone - West,Z1,SOUTH,2020,39.5
HSA1.1,SOUTH ZONE - WEST,South Zone - West,Z1,SOUTH,All,33.7
HSA1.2,SOUTH ZONE - CENTRAL,South Zone - Central,Z1,SOUTH,2016,40
HSA1.2,SOUTH ZONE - CENTRAL,South Zone - Central,Z1,SOUTH,2017,56.2
HSA1.2,SOUTH ZONE - CENTRAL,South Zone - Central,Z1,SOUTH,2018,50.9
HSA1.2,SOUTH ZONE - CENTRAL,South Zone - Central,Z1,SOUTH,2019,44
HSA1.2,SOUTH ZONE - CENTRAL,South Zone - Central,Z1,SOUTH,2020,30.8
HSA1.2,SOUTH ZONE - CENTRAL,South Zone - Central,Z1,SOUTH,All,44.3
HSA1.3,SOUTH ZONE - EAST,South Zone - East,Z1,SOUTH,2016,0
HSA1.3,SOUTH ZONE - EAST,South Zone - East,Z1,SOUTH,2017,0
HSA1.3,SOUTH ZONE - EAST,South Zone - East,Z1,SOUTH,2018,28.2
HSA1.3,SOUTH ZONE - EAST,South Zone - East,Z1,SOUTH,2019,25.7
HSA1.3,SOUTH ZONE - EAST,South Zone - East,Z1,SOUTH,2020,32.6
HSA1.3,SOUTH ZONE - EAST,South Zone - East,Z1,SOUTH,All,20.7
HSA1.4,SOUTH ZONE - MEDICINE HAT,South Zone - Medicine Hat,Z1,SOUTH,2016,0
HSA1.4,SOUTH ZONE - MEDICINE HAT,South Zone - Medicine Hat,Z1,SOUTH,2017,0
HSA1.4,SOUTH ZONE - MEDICINE HAT,South Zone - Medicine Hat,Z1,SOUTH,2018,39.5
HSA1.4,SOUTH ZONE - MEDICINE HAT,South Zone - Medicine Hat,Z1,SOUTH,2019,35
HSA1.4,SOUTH ZONE - MEDICINE HAT,South Zone - Medicine Hat,Z1,SOUTH,2020,49.3
HSA1.4,SOUTH ZONE - MEDICINE HAT,South Zone - Medicine Hat,Z1,SOUTH,All,26.6
HSA1.5.A,LETHBRIDGE - WEST,Lethbridge - West,Z1,SOUTH,2016,41.4
HSA1.5.A,LETHBRIDGE - WEST,Lethbridge - West,Z1,SOUTH,2017,60.3
HSA1.5.A,LETHBRIDGE - WEST,Lethbridge - West,Z1,SOUTH,2018,50.7
HSA1.5.A,LETHBRIDGE - WEST,Lethbridge - West,Z1,SOUTH,2019,63.6
HSA1.5.A,LETHBRIDGE - WEST,Lethbridge - West,Z1,SOUTH,2020,35.4
HSA1.5.A,LETHBRIDGE - WEST,Lethbridge - West,Z1,SOUTH,All,50.3
HSA1.5.B,LETHBRIDGE - NORTH,Lethbridge - North,Z1,SOUTH,2016,0
HSA1.5.B,LETHBRIDGE - NORTH,Lethbridge - North,Z1,SOUTH,2017,0
HSA1.5.B,LETHBRIDGE - NORTH,Lethbridge - North,Z1,SOUTH,2018,0
HSA1.5.B,LETHBRIDGE - NORTH,Lethbridge - North,Z1,SOUTH,2019,36.5
HSA1.5.B,LETHBRIDGE - NORTH,Lethbridge - North,Z1,SOUTH,2020,36.2
